,16
Unnamed: 0,
Unnamed: 1,
input_len,30.0
lstm_layer,1.0
lstm_unit,30.0
init_state,False
init_func,none
td_dense_layer,1.0
td_dense_unit,5.0
dense_layer,1.0
dense_unit,5.0
dense_output,1.0
outlier_feature,False
outlier_output,False
arch,LSTM
batch_size,32.0
epochs,40.0
loss,mse
lr,0.2
optimizer,adam
train_val,0.5
train_time_ns,74918187700.0
mse,0.03839767724275589
eval_mse,0.0024282371159642935
pred_time,849542500.0
pred_time_once,866880.1020408163
eval_mse_descale,483326426.15781844
